model_tag,model,item_id,condition,prompt,margin,pass_margin_gt_0,pass_margin_gt_1
phi2,Phi-2,agr_0009,SP,The representative of the clubs in question,1.784036636352539,True,True
phi2,Phi-2,agr_0009,PS,The representatives of the club in question,5.351300239562988,True,True
phi2,Phi-2,agr_0009,PP,The representatives of the clubs in question,6.804800033569336,True,True
phi2,Phi-2,agr_0010,SS,The author of the facility in question,6.546588897705078,True,True
phi2,Phi-2,agr_0010,SP,The author of the facilities in question,2.8459033966064453,True,True
phi2,Phi-2,agr_0010,PS,The authors of the facility in question,4.734358787536621,True,True
phi2,Phi-2,agr_0010,PP,The authors of the facilities in question,5.85352897644043,True,True
phi2,Phi-2,agr_0011,SS,The representative of the project in question,6.764820098876953,True,True
phi2,Phi-2,agr_0011,SP,The representative of the projects in question,2.2646169662475586,True,True
phi2,Phi-2,agr_0011,PS,The representatives of the project in question,4.937142372131348,True,True
phi2,Phi-2,agr_0011,PP,The representatives of the projects in question,7.032428741455078,True,True
phi2,Phi-2,agr_0012,SS,The member of the bureau in question,5.786182403564453,True,True
phi2,Phi-2,agr_0012,SP,The member of the bureaus in question,0.2150611877441406,True,False
phi2,Phi-2,agr_0012,PS,The members of the bureau in question,5.467759132385254,True,True
phi2,Phi-2,agr_0012,PP,The members of the bureaus in question,6.967233657836914,True,True
phi2,Phi-2,agr_0013,SS,The advisor of the council in question,5.565760612487793,True,True
phi2,Phi-2,agr_0013,SP,The advisor of the councils in question,1.8251705169677732,True,True
phi2,Phi-2,agr_0013,PS,The advisors of the council in question,4.382615089416504,True,True
phi2,Phi-2,agr_0013,PP,The advisors of the councils in question,6.163602828979492,True,True
phi2,Phi-2,agr_0014,SS,The student of the organization in question,5.012177467346191,True,True
phi2,Phi-2,agr_0014,SP,The student of the organizations in question,0.6111412048339844,True,False
phi2,Phi-2,agr_0014,PS,The students of the organization in question,5.193475723266602,True,True
phi2,Phi-2,agr_0014,PP,The students of the organizations in question,6.633099555969238,True,True
phi2,Phi-2,agr_0015,SS,The advisor of the service in question,5.374887466430664,True,True
phi2,Phi-2,agr_0015,SP,The advisor of the services in question,2.5345916748046875,True,True
phi2,Phi-2,agr_0015,PS,The advisors of the service in question,3.984644889831543,True,True
phi2,Phi-2,agr_0015,PP,The advisors of the services in question,5.970614433288574,True,True
phi2,Phi-2,agr_0016,SS,The student of the department in question,4.862610816955566,True,True
phi2,Phi-2,agr_0016,SP,The student of the departments in question,0.7539577484130859,True,False
phi2,Phi-2,agr_0016,PS,The students of the department in question,5.946110725402832,True,True
phi2,Phi-2,agr_0016,PP,The students of the departments in question,6.794105529785156,True,True
phi2,Phi-2,agr_0017,SS,The journalist of the program in question,5.881660461425781,True,True
phi2,Phi-2,agr_0017,SP,The journalist of the programs in question,1.7766027450561523,True,True
phi2,Phi-2,agr_0017,PS,The journalists of the program in question,5.064051628112793,True,True
phi2,Phi-2,agr_0017,PP,The journalists of the programs in question,6.5354413986206055,True,True
phi2,Phi-2,agr_0018,SS,The director of the unit in question,6.849709510803223,True,True
phi2,Phi-2,agr_0018,SP,The director of the units in question,2.005560874938965,True,True
phi2,Phi-2,agr_0018,PS,The directors of the unit in question,5.263669013977051,True,True
phi2,Phi-2,agr_0018,PP,The directors of the units in question,6.834386825561523,True,True
phi2,Phi-2,agr_0019,SS,The candidate of the council in question,4.968562126159668,True,True
phi2,Phi-2,agr_0019,SP,The candidate of the councils in question,0.8173675537109375,True,False
phi2,Phi-2,agr_0019,PS,The candidates of the council in question,5.322198867797852,True,True
phi2,Phi-2,agr_0019,PP,The candidates of the councils in question,7.020545959472656,True,True
phi2,Phi-2,agr_0020,SS,The scientist of the school in question,6.145044326782227,True,True
phi2,Phi-2,agr_0020,SP,The scientist of the schools in question,0.8368434906005859,True,False
phi2,Phi-2,agr_0020,PS,The scientists of the school in question,5.298613548278809,True,True
phi2,Phi-2,agr_0020,PP,The scientists of the schools in question,6.655274391174316,True,True
phi2,Phi-2,agr_0021,SS,The painter of the alliance in question,6.59104061126709,True,True
phi2,Phi-2,agr_0021,SP,The painter of the alliances in question,4.242870330810547,True,True
phi2,Phi-2,agr_0021,PS,The painters of the alliance in question,5.620126724243164,True,True
phi2,Phi-2,agr_0021,PP,The painters of the alliances in question,6.451844215393066,True,True
phi2,Phi-2,agr_0022,SS,The director of the consortium in question,6.800154685974121,True,True
phi2,Phi-2,agr_0022,SP,The director of the consortiums in question,1.9654111862182615,True,True
phi2,Phi-2,agr_0022,PS,The directors of the consortium in question,4.687504768371582,True,True
phi2,Phi-2,agr_0022,PP,The directors of the consortiums in question,6.690933227539063,True,True
phi2,Phi-2,agr_0023,SS,The researcher of the partnership in question,6.638867378234863,True,True
phi2,Phi-2,agr_0023,SP,The researcher of the partnerships in question,3.814755439758301,True,True
phi2,Phi-2,agr_0023,PS,The researchers of the partnership in question,4.265907287597656,True,True
phi2,Phi-2,agr_0023,PP,The researchers of the partnerships in question,6.448909759521484,True,True
phi2,Phi-2,agr_0024,SS,The leader of the coalition in question,7.225836753845215,True,True
phi2,Phi-2,agr_0024,SP,The leader of the coalitions in question,3.222153663635254,True,True
phi2,Phi-2,agr_0024,PS,The leaders of the coalition in question,4.594794273376465,True,True
phi2,Phi-2,agr_0024,PP,The leaders of the coalitions in question,6.929557800292969,True,True
phi2,Phi-2,agr_0025,SS,The engineer of the platform in question,7.0224809646606445,True,True
phi2,Phi-2,agr_0025,SP,The engineer of the platforms in question,2.789504051208496,True,True
phi2,Phi-2,agr_0025,PS,The engineers of the platform in question,5.090688705444336,True,True
phi2,Phi-2,agr_0025,PP,The engineers of the platforms in question,6.7691192626953125,True,True
phi2,Phi-2,agr_0026,SS,The driver of the forum in question,7.21574592590332,True,True
phi2,Phi-2,agr_0026,SP,The driver of the forums in question,2.8627443313598637,True,True
phi2,Phi-2,agr_0026,PS,The drivers of the forum in question,4.565203666687012,True,True
phi2,Phi-2,agr_0026,PP,The drivers of the forums in question,6.40571403503418,True,True
phi2,Phi-2,agr_0027,SS,The administrator of the region in question,6.893741607666016,True,True
phi2,Phi-2,agr_0027,SP,The administrator of the regions in question,1.458391189575195,True,True
phi2,Phi-2,agr_0027,PS,The administrators of the region in question,5.211095809936523,True,True
phi2,Phi-2,agr_0027,PP,The administrators of the regions in question,6.735397338867188,True,True
phi2,Phi-2,agr_0028,SS,The inspector of the project in question,6.7610063552856445,True,True
phi2,Phi-2,agr_0028,SP,The inspector of the projects in question,2.672371864318848,True,True
phi2,Phi-2,agr_0028,PS,The inspectors of the project in question,5.63081169128418,True,True
phi2,Phi-2,agr_0028,PP,The inspectors of the projects in question,6.758316040039063,True,True
phi2,Phi-2,agr_0029,SS,The technician of the project in question,6.348206520080566,True,True
phi2,Phi-2,agr_0029,SP,The technician of the projects in question,1.7603225708007812,True,True
phi2,Phi-2,agr_0029,PS,The technicians of the project in question,5.773740768432617,True,True
phi2,Phi-2,agr_0029,PP,The technicians of the projects in question,7.153779983520508,True,True
phi2,Phi-2,agr_0030,SS,The student of the institution in question,4.720002174377441,True,True
phi2,Phi-2,agr_0030,SP,The student of the institutions in question,0.3630886077880859,True,False
phi2,Phi-2,agr_0030,PS,The students of the institution in question,5.535616874694824,True,True
phi2,Phi-2,agr_0030,PP,The students of the institutions in question,7.056694030761719,True,True
phi2,Phi-2,agr_0031,SS,The doctor of the coalition in question,5.404440879821777,True,True
phi2,Phi-2,agr_0031,SP,The doctor of the coalitions in question,1.2478179931640625,True,True
phi2,Phi-2,agr_0031,PS,The doctors of the coalition in question,5.395662307739258,True,True
phi2,Phi-2,agr_0031,PP,The doctors of the coalitions in question,6.853615760803223,True,True
phi2,Phi-2,agr_0032,SS,The teacher of the firm in question,6.523475646972656,True,True
phi2,Phi-2,agr_0032,SP,The teacher of the firms in question,1.7360143661499023,True,True
phi2,Phi-2,agr_0032,PS,The teachers of the firm in question,5.523573875427246,True,True
phi2,Phi-2,agr_0032,PP,The teachers of the firms in question,7.060592651367188,True,True
phi2,Phi-2,agr_0033,SS,The auditor of the district in question,6.88706111907959,True,True
phi2,Phi-2,agr_0033,SP,The auditor of the districts in question,1.505624771118164,True,True
phi2,Phi-2,agr_0033,PS,The auditors of the district in question,5.128832817077637,True,True
phi2,Phi-2,agr_0033,PP,The auditors of the districts in question,6.638432502746582,True,True
phi2,Phi-2,agr_0034,SS,The designer of the coalition in question,6.478699684143066,True,True
phi2,Phi-2,agr_0034,SP,The designer of the coalitions in question,2.3005523681640625,True,True
phi2,Phi-2,agr_0034,PS,The designers of the coalition in question,6.164669990539551,True,True
phi2,Phi-2,agr_0034,PP,The designers of the coalitions in question,7.321245193481445,True,True
phi2,Phi-2,agr_0035,SS,The consultant of the region in question,5.955839157104492,True,True
phi2,Phi-2,agr_0035,SP,The consultant of the regions in question,1.9616498947143557,True,True
phi2,Phi-2,agr_0035,PS,The consultants of the region in question,5.168283462524414,True,True
phi2,Phi-2,agr_0035,PP,The consultants of the regions in question,6.297410011291504,True,True
phi2,Phi-2,agr_0036,SS,The auditor of the division in question,5.931983947753906,True,True
phi2,Phi-2,agr_0036,SP,The auditor of the divisions in question,1.257554054260254,True,True
phi2,Phi-2,agr_0036,PS,The auditors of the division in question,5.410344123840332,True,True
phi2,Phi-2,agr_0036,PP,The auditors of the divisions in question,6.607695579528809,True,True
phi2,Phi-2,agr_0037,SS,The engineer of the institute in question,6.739475250244141,True,True
phi2,Phi-2,agr_0037,SP,The engineer of the institutes in question,1.8702526092529297,True,True
phi2,Phi-2,agr_0037,PS,The engineers of the institute in question,5.257140159606934,True,True
phi2,Phi-2,agr_0037,PP,The engineers of the institutes in question,6.664710998535156,True,True
phi2,Phi-2,agr_0038,SS,The examiner of the division in question,6.357684135437012,True,True
phi2,Phi-2,agr_0038,SP,The examiner of the divisions in question,2.1939239501953125,True,True
phi2,Phi-2,agr_0038,PS,The examiners of the division in question,5.514586448669434,True,True
phi2,Phi-2,agr_0038,PP,The examiners of the divisions in question,6.796819686889648,True,True
phi2,Phi-2,agr_0039,SS,The member of the partnership in question,5.459702491760254,True,True
phi2,Phi-2,agr_0039,SP,The member of the partnerships in question,0.8533811569213867,True,False
phi2,Phi-2,agr_0039,PS,The members of the partnership in question,4.647889137268066,True,True
phi2,Phi-2,agr_0039,PP,The members of the partnerships in question,6.917807579040527,True,True
phi2,Phi-2,agr_0040,SS,The coordinator of the hospital in question,6.971603393554688,True,True
phi2,Phi-2,agr_0040,SP,The coordinator of the hospitals in question,2.329623222351074,True,True
phi2,Phi-2,agr_0040,PS,The coordinators of the hospital in question,4.498149871826172,True,True
phi2,Phi-2,agr_0040,PP,The coordinators of the hospitals in question,6.516925811767578,True,True
phi2,Phi-2,agr_0041,SS,The leader of the company in question,7.890276908874512,True,True
phi2,Phi-2,agr_0041,SP,The leader of the companies in question,2.977057456970215,True,True
phi2,Phi-2,agr_0041,PS,The leaders of the company in question,4.993294715881348,True,True
phi2,Phi-2,agr_0041,PP,The leaders of the companies in question,6.986630439758301,True,True
phi2,Phi-2,agr_0042,SS,The director of the organization in question,6.730548858642578,True,True
phi2,Phi-2,agr_0042,SP,The director of the organizations in question,1.3923463821411133,True,True
phi2,Phi-2,agr_0042,PS,The directors of the organization in question,4.598876953125,True,True
phi2,Phi-2,agr_0042,PP,The directors of the organizations in question,6.903203010559082,True,True
phi2,Phi-2,agr_0043,SS,The manager of the centre in question,7.086788177490234,True,True
phi2,Phi-2,agr_0043,SP,The manager of the centres in question,1.5457992553710938,True,True
phi2,Phi-2,agr_0043,PS,The managers of the centre in question,5.092164039611816,True,True
phi2,Phi-2,agr_0043,PP,The managers of the centres in question,7.216888427734375,True,True
phi2,Phi-2,agr_0044,SS,The doctor of the board in question,5.853331565856934,True,True
phi2,Phi-2,agr_0044,SP,The doctor of the boards in question,2.645735740661621,True,True
phi2,Phi-2,agr_0044,PS,The doctors of the board in question,4.174991607666016,True,True
phi2,Phi-2,agr_0044,PP,The doctors of the boards in question,6.566988945007324,True,True
phi2,Phi-2,agr_0045,SS,The student of the company in question,5.315157890319824,True,True
phi2,Phi-2,agr_0045,SP,The student of the companies in question,0.5022525787353516,True,False
phi2,Phi-2,agr_0045,PS,The students of the company in question,5.858559608459473,True,True
phi2,Phi-2,agr_0045,PP,The students of the companies in question,6.671865463256836,True,True
phi2,Phi-2,agr_0046,SS,The lecturer of the alliance in question,5.219316482543945,True,True
phi2,Phi-2,agr_0046,SP,The lecturer of the alliances in question,2.198589324951172,True,True
phi2,Phi-2,agr_0046,PS,The lecturers of the alliance in question,5.017117500305176,True,True
phi2,Phi-2,agr_0046,PP,The lecturers of the alliances in question,6.543120384216309,True,True
phi2,Phi-2,agr_0047,SS,The consultant of the authority in question,5.029670715332031,True,True
phi2,Phi-2,agr_0047,SP,The consultant of the authorities in question,2.995416641235352,True,True
phi2,Phi-2,agr_0047,PS,The consultants of the authority in question,4.611283302307129,True,True
phi2,Phi-2,agr_0047,PP,The consultants of the authorities in question,6.117450714111328,True,True
phi2,Phi-2,agr_0048,SS,The researcher of the group in question,6.20860481262207,True,True
phi2,Phi-2,agr_0048,SP,The researcher of the groups in question,2.026195526123047,True,True
phi2,Phi-2,agr_0048,PS,The researchers of the group in question,4.581112861633301,True,True
phi2,Phi-2,agr_0048,PP,The researchers of the groups in question,6.274113655090332,True,True
phi2,Phi-2,agr_0049,SS,The reporter of the college in question,6.318071365356445,True,True
phi2,Phi-2,agr_0049,SP,The reporter of the colleges in question,1.5308361053466797,True,True
phi2,Phi-2,agr_0049,PS,The reporters of the college in question,5.1084489822387695,True,True
phi2,Phi-2,agr_0049,PP,The reporters of the colleges in question,6.508029937744141,True,True
phi2,Phi-2,agr_0050,SS,The reporter of the network in question,6.336024284362793,True,True
phi2,Phi-2,agr_0050,SP,The reporter of the networks in question,1.4861078262329102,True,True
phi2,Phi-2,agr_0050,PS,The reporters of the network in question,5.4183197021484375,True,True
phi2,Phi-2,agr_0050,PP,The reporters of the networks in question,6.960286140441895,True,True
phi2,Phi-2,agr_0051,SS,The lecturer of the firm in question,5.677227973937988,True,True
phi2,Phi-2,agr_0051,SP,The lecturer of the firms in question,0.7114963531494141,True,False
phi2,Phi-2,agr_0051,PS,The lecturers of the firm in question,4.858475685119629,True,True
phi2,Phi-2,agr_0051,PP,The lecturers of the firms in question,6.385322570800781,True,True
phi2,Phi-2,agr_0052,SS,The artist of the facility in question,6.364279747009277,True,True
phi2,Phi-2,agr_0052,SP,The artist of the facilities in question,2.772676467895508,True,True
phi2,Phi-2,agr_0052,PS,The artists of the facility in question,6.406833648681641,True,True
phi2,Phi-2,agr_0052,PP,The artists of the facilities in question,6.996198654174805,True,True
phi2,Phi-2,agr_0053,SS,The editor of the institute in question,6.428158760070801,True,True
phi2,Phi-2,agr_0053,SP,The editor of the institutes in question,1.1412696838378906,True,True
phi2,Phi-2,agr_0053,PS,The editors of the institute in question,4.339229583740234,True,True
phi2,Phi-2,agr_0053,PP,The editors of the institutes in question,5.908185958862305,True,True
phi2,Phi-2,agr_0054,SS,The employee of the agency in question,5.470191955566406,True,True
phi2,Phi-2,agr_0054,SP,The employee of the agencies in question,0.0758228302001953,True,False
phi2,Phi-2,agr_0054,PS,The employees of the agency in question,6.154104232788086,True,True
phi2,Phi-2,agr_0054,PP,The employees of the agencies in question,7.455946922302246,True,True
phi2,Phi-2,agr_0055,SS,The planner of the district in question,6.673402786254883,True,True
phi2,Phi-2,agr_0055,SP,The planner of the districts in question,3.104145050048828,True,True
phi2,Phi-2,agr_0055,PS,The planners of the district in question,5.193689346313477,True,True
phi2,Phi-2,agr_0055,PP,The planners of the districts in question,6.731988906860352,True,True
phi2,Phi-2,agr_0056,SS,The scientist of the sector in question,5.043729782104492,True,True
phi2,Phi-2,agr_0056,SP,The scientist of the sectors in question,1.4401512145996094,True,True
phi2,Phi-2,agr_0056,PS,The scientists of the sector in question,4.851046562194824,True,True
phi2,Phi-2,agr_0056,PP,The scientists of the sectors in question,6.393989562988281,True,True
phi2,Phi-2,agr_0057,SS,The doctor of the station in question,6.226916313171387,True,True
phi2,Phi-2,agr_0057,SP,The doctor of the stations in question,1.1045331954956057,True,True
phi2,Phi-2,agr_0057,PS,The doctors of the station in question,5.419075965881348,True,True
phi2,Phi-2,agr_0057,PP,The doctors of the stations in question,6.891872406005859,True,True
phi2,Phi-2,agr_0058,SS,The employee of the enterprise in question,4.839176177978516,True,True
phi2,Phi-2,agr_0058,SP,The employee of the enterprises in question,-0.0467643737792968,False,False
phi2,Phi-2,agr_0058,PS,The employees of the enterprise in question,5.114901542663574,True,True
phi2,Phi-2,agr_0058,PP,The employees of the enterprises in question,6.977442741394043,True,True
phi2,Phi-2,agr_0059,SS,The administrator of the project in question,6.904925346374512,True,True
phi2,Phi-2,agr_0059,SP,The administrator of the projects in question,2.8627166748046875,True,True
phi2,Phi-2,agr_0059,PS,The administrators of the project in question,4.894922256469727,True,True
phi2,Phi-2,agr_0059,PP,The administrators of the projects in question,6.892548561096191,True,True
phi2,Phi-2,agr_0060,SS,The supervisor of the group in question,6.204007148742676,True,True
phi2,Phi-2,agr_0060,SP,The supervisor of the groups in question,1.9472579956054688,True,True
phi2,Phi-2,agr_0060,PS,The supervisors of the group in question,4.586335182189941,True,True
phi2,Phi-2,agr_0060,PP,The supervisors of the groups in question,6.399083137512207,True,True
phi2,Phi-2,agr_0061,SS,The technician of the college in question,6.209693908691406,True,True
phi2,Phi-2,agr_0061,SP,The technician of the colleges in question,0.7856025695800781,True,False
phi2,Phi-2,agr_0061,PS,The technicians of the college in question,5.4353132247924805,True,True
phi2,Phi-2,agr_0061,PP,The technicians of the colleges in question,7.048124313354492,True,True
phi2,Phi-2,agr_0062,SS,The doctor of the facility in question,6.04219913482666,True,True
phi2,Phi-2,agr_0062,SP,The doctor of the facilities in question,2.411808967590332,True,True
phi2,Phi-2,agr_0062,PS,The doctors of the facility in question,5.239069938659668,True,True
phi2,Phi-2,agr_0062,PP,The doctors of the facilities in question,7.288423538208008,True,True
phi2,Phi-2,agr_0063,SS,The owner of the agency in question,7.08119010925293,True,True
phi2,Phi-2,agr_0063,SP,The owner of the agencies in question,1.7349004745483398,True,True
phi2,Phi-2,agr_0063,PS,The owners of the agency in question,4.872000694274902,True,True
phi2,Phi-2,agr_0063,PP,The owners of the agencies in question,6.915387153625488,True,True
phi2,Phi-2,agr_0064,SS,The supervisor of the district in question,7.259286880493164,True,True
phi2,Phi-2,agr_0064,SP,The supervisor of the districts in question,2.190526962280273,True,True
phi2,Phi-2,agr_0064,PS,The supervisors of the district in question,4.635566711425781,True,True
phi2,Phi-2,agr_0064,PP,The supervisors of the districts in question,6.34220027923584,True,True
phi2,Phi-2,agr_0065,SS,The analyst of the bureau in question,6.081432342529297,True,True
phi2,Phi-2,agr_0065,SP,The analyst of the bureaus in question,1.4937810897827148,True,True
phi2,Phi-2,agr_0065,PS,The analysts of the bureau in question,5.535015106201172,True,True
phi2,Phi-2,agr_0065,PP,The analysts of the bureaus in question,6.734180450439453,True,True
phi2,Phi-2,agr_0066,SS,The journalist of the agency in question,5.886565208435059,True,True
phi2,Phi-2,agr_0066,SP,The journalist of the agencies in question,0.6628141403198242,True,False
phi2,Phi-2,agr_0066,PS,The journalists of the agency in question,4.60630989074707,True,True
phi2,Phi-2,agr_0066,PP,The journalists of the agencies in question,6.72325325012207,True,True
phi2,Phi-2,agr_0067,SS,The driver of the partnership in question,7.266207695007324,True,True
phi2,Phi-2,agr_0067,SP,The driver of the partnerships in question,1.940866470336914,True,True
phi2,Phi-2,agr_0067,PS,The drivers of the partnership in question,4.091839790344238,True,True
phi2,Phi-2,agr_0067,PP,The drivers of the partnerships in question,6.655345916748047,True,True
phi2,Phi-2,agr_0068,SS,The designer of the university in question,7.0830488204956055,True,True
phi2,Phi-2,agr_0068,SP,The designer of the universities in question,2.560077667236328,True,True
phi2,Phi-2,agr_0068,PS,The designers of the university in question,5.955763816833496,True,True
phi2,Phi-2,agr_0068,PP,The designers of the universities in question,7.2922868728637695,True,True
phi2,Phi-2,agr_0069,SS,The teacher of the institution in question,6.31402587890625,True,True
phi2,Phi-2,agr_0069,SP,The teacher of the institutions in question,1.6022958755493164,True,True
phi2,Phi-2,agr_0069,PS,The teachers of the institution in question,4.809090614318848,True,True
phi2,Phi-2,agr_0069,PP,The teachers of the institutions in question,7.270838737487793,True,True
phi2,Phi-2,agr_0070,SS,The supervisor of the institution in question,6.623067855834961,True,True
phi2,Phi-2,agr_0070,SP,The supervisor of the institutions in question,1.8608074188232424,True,True
phi2,Phi-2,agr_0070,PS,The supervisors of the institution in question,3.6048316955566406,True,True
phi2,Phi-2,agr_0070,PP,The supervisors of the institutions in question,6.476352691650391,True,True
phi2,Phi-2,agr_0071,SS,The accountant of the coalition in question,6.419458389282227,True,True
phi2,Phi-2,agr_0071,SP,The accountant of the coalitions in question,1.6968345642089844,True,True
phi2,Phi-2,agr_0071,PS,The accountants of the coalition in question,5.275153160095215,True,True
phi2,Phi-2,agr_0071,PP,The accountants of the coalitions in question,6.642087936401367,True,True
phi2,Phi-2,agr_0072,SS,The architect of the organization in question,6.672843933105469,True,True
phi2,Phi-2,agr_0072,SP,The architect of the organizations in question,1.7014999389648438,True,True
phi2,Phi-2,agr_0072,PS,The architects of the organization in question,5.343945503234863,True,True
phi2,Phi-2,agr_0072,PP,The architects of the organizations in question,7.170456886291504,True,True
phi2,Phi-2,agr_0073,SS,The assistant of the district in question,5.713986396789551,True,True
phi2,Phi-2,agr_0073,SP,The assistant of the districts in question,0.6587657928466797,True,False
phi2,Phi-2,agr_0073,PS,The assistants of the district in question,4.265244483947754,True,True
phi2,Phi-2,agr_0073,PP,The assistants of the districts in question,6.205904960632324,True,True
phi2,Phi-2,agr_0074,SS,The lecturer of the organization in question,4.785943031311035,True,True
phi2,Phi-2,agr_0074,SP,The lecturer of the organizations in question,0.7566080093383789,True,False
phi2,Phi-2,agr_0074,PS,The lecturers of the organization in question,4.46117115020752,True,True
phi2,Phi-2,agr_0074,PP,The lecturers of the organizations in question,6.452905654907227,True,True
phi2,Phi-2,agr_0075,SS,The inspector of the centre in question,6.41486930847168,True,True
phi2,Phi-2,agr_0075,SP,The inspector of the centres in question,1.6085271835327148,True,True
phi2,Phi-2,agr_0075,PS,The inspectors of the centre in question,5.720768928527832,True,True
phi2,Phi-2,agr_0075,PP,The inspectors of the centres in question,6.960689544677734,True,True
phi2,Phi-2,agr_0076,SS,The evaluator of the coalition in question,6.108269691467285,True,True
phi2,Phi-2,agr_0076,SP,The evaluator of the coalitions in question,1.848773002624512,True,True
phi2,Phi-2,agr_0076,PS,The evaluators of the coalition in question,5.410212516784668,True,True
phi2,Phi-2,agr_0076,PP,The evaluators of the coalitions in question,6.898992538452148,True,True
phi2,Phi-2,agr_0077,SS,The director of the team in question,6.352059364318848,True,True
phi2,Phi-2,agr_0077,SP,The director of the teams in question,1.0524215698242188,True,True
phi2,Phi-2,agr_0077,PS,The directors of the team in question,5.199257850646973,True,True
phi2,Phi-2,agr_0077,PP,The directors of the teams in question,6.839344024658203,True,True
phi2,Phi-2,agr_0078,SS,The researcher of the forum in question,6.842114448547363,True,True
phi2,Phi-2,agr_0078,SP,The researcher of the forums in question,4.371955871582031,True,True
phi2,Phi-2,agr_0078,PS,The researchers of the forum in question,5.425761222839356,True,True
phi2,Phi-2,agr_0078,PP,The researchers of the forums in question,6.469559669494629,True,True
phi2,Phi-2,agr_0079,SS,The evaluator of the service in question,5.615324020385742,True,True
phi2,Phi-2,agr_0079,SP,The evaluator of the services in question,3.490863800048828,True,True
phi2,Phi-2,agr_0079,PS,The evaluators of the service in question,4.558873176574707,True,True
phi2,Phi-2,agr_0079,PP,The evaluators of the services in question,6.109354019165039,True,True
phi2,Phi-2,agr_0080,SS,The editor of the station in question,6.418002128601074,True,True
phi2,Phi-2,agr_0080,SP,The editor of the stations in question,1.3753633499145508,True,True
phi2,Phi-2,agr_0080,PS,The editors of the station in question,4.274707794189453,True,True
phi2,Phi-2,agr_0080,PP,The editors of the stations in question,5.970639228820801,True,True
phi2,Phi-2,agr_0081,SS,The executive of the company in question,5.938689231872559,True,True
phi2,Phi-2,agr_0081,SP,The executive of the companies in question,0.8121442794799805,True,False
phi2,Phi-2,agr_0081,PS,The executives of the company in question,6.1582136154174805,True,True
phi2,Phi-2,agr_0081,PP,The executives of the companies in question,7.168203353881836,True,True
phi2,Phi-2,agr_0082,SS,The auditor of the consortium in question,6.257238388061523,True,True
phi2,Phi-2,agr_0082,SP,The auditor of the consortiums in question,1.713144302368164,True,True
