aux_pair,condition,prompt,subject,distractor,subject_num,group_id,anchor_template
be_present,SS,The artist of the forum in question,artist,forum,sg,agr_0361,of_in_question
be_present,PS,The commissioners of the facility in question,commissioners,facility,pl,agr_0385,of_in_question
be_present,PS,The consultants of the forum in question,consultants,forum,pl,agr_0088,of_in_question
be_present,PP,The examiners of the centres in question,examiners,centres,pl,agr_0235,of_in_question
be_present,PP,The directors of the boards in question,directors,boards,pl,agr_0148,of_in_question
be_present,SS,The painter of the branch in question,painter,branch,sg,agr_0184,of_in_question
be_present,SS,The officer of the bureau in question,officer,bureau,sg,agr_0262,of_in_question
be_present,PP,The programmers of the programs in question,programmers,programs,pl,agr_0282,of_in_question
be_present,SS,The supervisor of the company in question,supervisor,company,sg,agr_0087,of_in_question
be_present,PP,The members of the companies in question,members,companies,pl,agr_0371,of_in_question
be_present,PP,The students of the facilities in question,students,facilities,pl,agr_0307,of_in_question
be_present,PP,The technicians of the forums in question,technicians,forums,pl,agr_0172,of_in_question
be_present,PS,The artists of the board in question,artists,board,pl,agr_0110,of_in_question
be_present,SS,The architect of the division in question,architect,division,sg,agr_0388,of_in_question
be_present,PP,The advisors of the groups in question,advisors,groups,pl,agr_0084,of_in_question
be_present,SP,The worker of the stations in question,worker,stations,sg,agr_0290,of_in_question
be_present,SS,The architect of the corporation in question,architect,corporation,sg,agr_0099,of_in_question
be_present,SP,The manager of the boards in question,manager,boards,sg,agr_0317,of_in_question
be_present,SS,The trainer of the foundation in question,trainer,foundation,sg,agr_0287,of_in_question
be_present,SP,The assistant of the laboratories in question,assistant,laboratories,sg,agr_0261,of_in_question
be_present,SS,The operator of the federation in question,operator,federation,sg,agr_0338,of_in_question
be_present,PS,The administrators of the partnership in question,administrators,partnership,pl,agr_0161,of_in_question
be_present,SS,The planner of the forum in question,planner,forum,sg,agr_0255,of_in_question
be_present,PP,The painters of the associations in question,painters,associations,pl,agr_0300,of_in_question
be_present,SP,The administrator of the offices in question,administrator,offices,sg,agr_0253,of_in_question
be_present,SP,The scientist of the partnerships in question,scientist,partnerships,sg,agr_0220,of_in_question
be_present,SP,The auditor of the agencies in question,auditor,agencies,sg,agr_0343,of_in_question
be_present,PP,The painters of the laboratories in question,painters,laboratories,pl,agr_0169,of_in_question
be_present,PS,The members of the laboratory in question,members,laboratory,pl,agr_0163,of_in_question
be_present,SS,The member of the partnership in question,member,partnership,sg,agr_0039,of_in_question
be_present,PP,The evaluators of the alliances in question,evaluators,alliances,pl,agr_0389,of_in_question
be_present,PS,The executives of the service in question,executives,service,pl,agr_0142,of_in_question
be_present,SP,The supervisor of the programs in question,supervisor,programs,sg,agr_0340,of_in_question
be_present,SS,The architect of the program in question,architect,program,sg,agr_0325,of_in_question
be_present,SP,The architect of the services in question,architect,services,sg,agr_0323,of_in_question
be_present,PP,The inspectors of the centres in question,inspectors,centres,pl,agr_0075,of_in_question
be_present,SP,The evaluator of the districts in question,evaluator,districts,sg,agr_0294,of_in_question
be_present,PS,The operators of the team in question,operators,team,pl,agr_0094,of_in_question
be_present,PP,The technicians of the teams in question,technicians,teams,pl,agr_0328,of_in_question
be_present,SP,The director of the committees in question,director,committees,sg,agr_0229,of_in_question
be_present,SP,The planner of the units in question,planner,units,sg,agr_0286,of_in_question
be_present,PS,The assistants of the branch in question,assistants,branch,pl,agr_0263,of_in_question
be_present,SS,The researcher of the group in question,researcher,group,sg,agr_0048,of_in_question
be_present,PP,The lawyers of the associations in question,lawyers,associations,pl,agr_0185,of_in_question
be_present,PP,The instructors of the platforms in question,instructors,platforms,pl,agr_0162,of_in_question
be_present,SS,The planner of the office in question,planner,office,sg,agr_0231,of_in_question
be_present,SS,The programmer of the project in question,programmer,project,sg,agr_0264,of_in_question
be_present,SS,The supervisor of the foundation in question,supervisor,foundation,sg,agr_0365,of_in_question
be_present,PS,The architects of the service in question,architects,service,pl,agr_0323,of_in_question
be_present,PS,The accountants of the board in question,accountants,board,pl,agr_0210,of_in_question
be_present,SP,The builder of the teams in question,builder,teams,sg,agr_0150,of_in_question
be_present,SS,The operator of the board in question,operator,board,sg,agr_0227,of_in_question
be_present,SS,The planner of the division in question,planner,division,sg,agr_0086,of_in_question
be_present,PS,The workers of the ministry in question,workers,ministry,pl,agr_0249,of_in_question
be_present,SS,The author of the facility in question,author,facility,sg,agr_0010,of_in_question
be_present,SP,The technician of the colleges in question,technician,colleges,sg,agr_0061,of_in_question
be_present,PS,The leaders of the centre in question,leaders,centre,pl,agr_0329,of_in_question
be_present,SS,The worker of the alliance in question,worker,alliance,sg,agr_0204,of_in_question
be_present,SP,The inspector of the facilities in question,inspector,facilities,sg,agr_0221,of_in_question
be_present,PP,The students of the partnerships in question,students,partnerships,pl,agr_0319,of_in_question
be_present,PS,The teachers of the institution in question,teachers,institution,pl,agr_0069,of_in_question
be_present,SS,The assistant of the firm in question,assistant,firm,sg,agr_0239,of_in_question
be_present,PS,The evaluators of the institute in question,evaluators,institute,pl,agr_0181,of_in_question
be_present,SP,The advisor of the groups in question,advisor,groups,sg,agr_0084,of_in_question
be_present,PS,The developers of the program in question,developers,program,pl,agr_0238,of_in_question
be_present,SS,The employee of the committee in question,employee,committee,sg,agr_0127,of_in_question
be_present,PP,The authors of the colleges in question,authors,colleges,pl,agr_0134,of_in_question
be_present,PS,The workers of the service in question,workers,service,pl,agr_0324,of_in_question
be_present,PP,The programmers of the services in question,programmers,services,pl,agr_0381,of_in_question
be_present,SP,The trainer of the committees in question,trainer,committees,sg,agr_0140,of_in_question
be_present,PP,The developers of the units in question,developers,units,pl,agr_0289,of_in_question
be_present,SP,The professor of the panels in question,professor,panels,sg,agr_0250,of_in_question
be_present,SS,The engineer of the program in question,engineer,program,sg,agr_0115,of_in_question
be_present,SS,The engineer of the centre in question,engineer,centre,sg,agr_0379,of_in_question
be_present,PS,The candidates of the network in question,candidates,network,pl,agr_0173,of_in_question
be_present,PP,The directors of the organizations in question,directors,organizations,pl,agr_0042,of_in_question
be_present,SP,The member of the organizations in question,member,organizations,sg,agr_0280,of_in_question
be_present,PP,The accountants of the coalitions in question,accountants,coalitions,pl,agr_0071,of_in_question
be_present,SS,The programmer of the program in question,programmer,program,sg,agr_0282,of_in_question
be_present,SP,The researcher of the organizations in question,researcher,organizations,sg,agr_0398,of_in_question
be_present,PS,The engineers of the platform in question,engineers,platform,pl,agr_0025,of_in_question
be_present,SS,The officer of the coalition in question,officer,coalition,sg,agr_0311,of_in_question
be_present,SP,The auditor of the networks in question,auditor,networks,sg,agr_0271,of_in_question
be_present,PP,The consultants of the forums in question,consultants,forums,pl,agr_0088,of_in_question
be_present,PS,The assistants of the committee in question,assistants,committee,pl,agr_0274,of_in_question
be_present,PP,The drivers of the divisions in question,drivers,divisions,pl,agr_0175,of_in_question
be_present,PS,The students of the university in question,students,university,pl,agr_0366,of_in_question
be_present,PS,The authors of the centre in question,authors,centre,pl,agr_0244,of_in_question
be_present,SP,The officer of the laboratories in question,officer,laboratories,sg,agr_0096,of_in_question
be_present,PP,The scientists of the panels in question,scientists,panels,pl,agr_0359,of_in_question
be_present,SP,The professor of the alliances in question,professor,alliances,sg,agr_0310,of_in_question
be_present,SP,The architect of the corporations in question,architect,corporations,sg,agr_0099,of_in_question
be_present,SS,The coordinator of the project in question,coordinator,project,sg,agr_0245,of_in_question
be_present,PP,The officers of the centres in question,officers,centres,pl,agr_0308,of_in_question
be_present,SS,The researcher of the authority in question,researcher,authority,sg,agr_0102,of_in_question
be_present,PS,The editors of the branch in question,editors,branch,pl,agr_0226,of_in_question
be_present,SS,The officer of the centre in question,officer,centre,sg,agr_0308,of_in_question
be_present,PP,The administrators of the agencies in question,administrators,agencies,pl,agr_0136,of_in_question
be_present,SS,The lawyer of the region in question,lawyer,region,sg,agr_0241,of_in_question
be_present,PP,The analysts of the bureaus in question,analysts,bureaus,pl,agr_0065,of_in_question
be_present,PP,The researchers of the projects in question,researchers,projects,pl,agr_0339,of_in_question
be_present,SS,The auditor of the division in question,auditor,division,sg,agr_0036,of_in_question
be_present,SS,The inspector of the project in question,inspector,project,sg,agr_0028,of_in_question
be_present,PS,The consultants of the corporation in question,consultants,corporation,pl,agr_0190,of_in_question
be_present,SP,The reporter of the federations in question,reporter,federations,sg,agr_0345,of_in_question
be_present,PP,The lecturers of the organizations in question,lecturers,organizations,pl,agr_0074,of_in_question
be_present,PS,The consultants of the platform in question,consultants,platform,pl,agr_0168,of_in_question
be_present,PS,The students of the committee in question,students,committee,pl,agr_0130,of_in_question
be_present,SP,The member of the networks in question,member,networks,sg,agr_0218,of_in_question
be_present,SS,The supervisor of the group in question,supervisor,group,sg,agr_0060,of_in_question
be_present,PS,The analysts of the enterprise in question,analysts,enterprise,pl,agr_0129,of_in_question
be_present,SS,The leader of the centre in question,leader,centre,sg,agr_0329,of_in_question
be_present,SS,The lecturer of the university in question,lecturer,university,sg,agr_0004,of_in_question
be_present,SP,The worker of the alliances in question,worker,alliances,sg,agr_0204,of_in_question
be_present,SS,The researcher of the office in question,researcher,office,sg,agr_0349,of_in_question
be_present,SP,The teacher of the districts in question,teacher,districts,sg,agr_0306,of_in_question
be_present,PS,The candidates of the hospital in question,candidates,hospital,pl,agr_0089,of_in_question
be_present,SP,The advisor of the forums in question,advisor,forums,sg,agr_0256,of_in_question
be_present,SP,The technician of the teams in question,technician,teams,sg,agr_0328,of_in_question
be_present,SS,The professor of the panel in question,professor,panel,sg,agr_0250,of_in_question
be_present,SS,The painter of the institution in question,painter,institution,sg,agr_0187,of_in_question
be_present,SP,The representative of the clubs in question,representative,clubs,sg,agr_0009,of_in_question
be_present,SP,The candidate of the systems in question,candidate,systems,sg,agr_0396,of_in_question
be_present,PS,The journalists of the agency in question,journalists,agency,pl,agr_0066,of_in_question
be_present,SP,The employee of the corporations in question,employee,corporations,sg,agr_0106,of_in_question
be_present,SP,The leader of the foundations in question,leader,foundations,sg,agr_0193,of_in_question
be_present,PP,The painters of the alliances in question,painters,alliances,pl,agr_0021,of_in_question
be_present,SS,The teacher of the sector in question,teacher,sector,sg,agr_0180,of_in_question
be_present,PP,The programmers of the systems in question,programmers,systems,pl,agr_0157,of_in_question
be_present,SP,The analyst of the corporations in question,analyst,corporations,sg,agr_0234,of_in_question
be_present,PS,The programmers of the panel in question,programmers,panel,pl,agr_0356,of_in_question
be_present,SP,The reporter of the networks in question,reporter,networks,sg,agr_0050,of_in_question
be_present,SP,The planner of the alliances in question,planner,alliances,sg,agr_0351,of_in_question
be_present,SS,The builder of the team in question,builder,team,sg,agr_0150,of_in_question
be_present,SP,The author of the forums in question,author,forums,sg,agr_0219,of_in_question
be_present,PP,The programmers of the panels in question,programmers,panels,pl,agr_0356,of_in_question
be_present,PS,The commissioners of the club in question,commissioners,club,pl,agr_0285,of_in_question
be_present,SS,The analyst of the project in question,analyst,project,sg,agr_0247,of_in_question
be_present,PS,The leaders of the coalition in question,leaders,coalition,pl,agr_0024,of_in_question
be_present,PP,The reporters of the laboratories in question,reporters,laboratories,pl,agr_0201,of_in_question
be_present,SS,The student of the company in question,student,company,sg,agr_0045,of_in_question
be_present,PS,The reporters of the unit in question,reporters,unit,pl,agr_0265,of_in_question
be_present,PP,The architects of the schools in question,architects,schools,pl,agr_0357,of_in_question
be_present,SS,The researcher of the forum in question,researcher,forum,sg,agr_0078,of_in_question
be_present,SS,The artist of the consortium in question,artist,consortium,sg,agr_0395,of_in_question
be_present,SS,The evaluator of the division in question,evaluator,division,sg,agr_0176,of_in_question
be_present,PS,The candidates of the council in question,candidates,council,pl,agr_0019,of_in_question
be_present,SP,The leader of the schools in question,leader,schools,sg,agr_0179,of_in_question
be_present,PP,The supervisors of the ministries in question,supervisors,ministries,pl,agr_0139,of_in_question
be_present,SS,The painter of the group in question,painter,group,sg,agr_0105,of_in_question
be_present,SP,The representative of the councils in question,representative,councils,sg,agr_0399,of_in_question
be_present,PS,The painters of the laboratory in question,painters,laboratory,pl,agr_0169,of_in_question
be_present,PP,The teachers of the regions in question,teachers,regions,pl,agr_0370,of_in_question
be_present,PS,The directors of the sector in question,directors,sector,pl,agr_0315,of_in_question
be_present,SS,The journalist of the company in question,journalist,company,sg,agr_0291,of_in_question
be_present,PP,The reporters of the schools in question,reporters,schools,pl,agr_0393,of_in_question
be_present,PS,The teachers of the district in question,teachers,district,pl,agr_0306,of_in_question
be_present,SP,The supervisor of the foundations in question,supervisor,foundations,sg,agr_0365,of_in_question
be_present,SP,The painter of the firms in question,painter,firms,sg,agr_0350,of_in_question
be_present,PP,The analysts of the projects in question,analysts,projects,pl,agr_0247,of_in_question
be_present,PP,The inspectors of the districts in question,inspectors,districts,pl,agr_0279,of_in_question
be_present,SP,The evaluator of the divisions in question,evaluator,divisions,sg,agr_0176,of_in_question
be_present,PP,The directors of the units in question,directors,units,pl,agr_0018,of_in_question
be_present,PP,The managers of the branches in question,managers,branches,pl,agr_0301,of_in_question
be_present,PS,The supervisors of the ministry in question,supervisors,ministry,pl,agr_0139,of_in_question
be_present,SS,The author of the department in question,author,department,sg,agr_0278,of_in_question
be_present,SP,The artist of the enterprises in question,artist,enterprises,sg,agr_0212,of_in_question
be_present,PP,The evaluators of the districts in question,evaluators,districts,pl,agr_0294,of_in_question
be_present,PP,The advisors of the networks in question,advisors,networks,pl,agr_0085,of_in_question
be_present,PP,The consultants of the organizations in question,consultants,organizations,pl,agr_0132,of_in_question
be_present,SS,The commissioner of the consortium in question,commissioner,consortium,sg,agr_0216,of_in_question
be_present,PS,The planners of the council in question,planners,council,pl,agr_0283,of_in_question
be_present,PP,The researchers of the ministries in question,researchers,ministries,pl,agr_0368,of_in_question
be_present,SP,The accountant of the firms in question,accountant,firms,sg,agr_0224,of_in_question
be_present,SP,The painter of the boards in question,painter,boards,sg,agr_0259,of_in_question
be_present,SS,The worker of the enterprise in question,worker,enterprise,sg,agr_0268,of_in_question
be_present,SS,The officer of the board in question,officer,board,sg,agr_0006,of_in_question
be_present,PP,The teachers of the firms in question,teachers,firms,pl,agr_0032,of_in_question
be_present,PS,The teachers of the agency in question,teachers,agency,pl,agr_0269,of_in_question
be_present,SS,The lecturer of the agency in question,lecturer,agency,sg,agr_0334,of_in_question
be_present,PP,The consultants of the associations in question,consultants,associations,pl,agr_0143,of_in_question
be_present,PS,The assistants of the university in question,assistants,university,pl,agr_0353,of_in_question
be_present,SS,The engineer of the bureau in question,engineer,bureau,sg,agr_0309,of_in_question
be_present,SS,The evaluator of the coalition in question,evaluator,coalition,sg,agr_0076,of_in_question
be_present,SS,The director of the centre in question,director,centre,sg,agr_0372,of_in_question
be_present,PP,The leaders of the companies in question,leaders,companies,pl,agr_0041,of_in_question
be_present,PP,The students of the companies in question,students,companies,pl,agr_0045,of_in_question
be_present,PP,The members of the bureaus in question,members,bureaus,pl,agr_0012,of_in_question
be_present,PS,The students of the federation in question,students,federation,pl,agr_0369,of_in_question
be_present,PP,The engineers of the bureaus in question,engineers,bureaus,pl,agr_0309,of_in_question
be_present,PS,The officers of the coalition in question,officers,coalition,pl,agr_0311,of_in_question
be_present,SS,The owner of the team in question,owner,team,sg,agr_0284,of_in_question
be_present,SS,The manager of the branch in question,manager,branch,sg,agr_0301,of_in_question
be_present,PS,The instructors of the hospital in question,instructors,hospital,pl,agr_0198,of_in_question
be_present,SS,The professor of the firm in question,professor,firm,sg,agr_0123,of_in_question
be_present,SP,The lecturer of the organizations in question,lecturer,organizations,sg,agr_0074,of_in_question
be_present,SP,The planner of the forums in question,planner,forums,sg,agr_0255,of_in_question
be_present,SS,The accountant of the association in question,accountant,association,sg,agr_0367,of_in_question
be_present,SP,The auditor of the ministries in question,auditor,ministries,sg,agr_0154,of_in_question
be_present,SP,The owner of the panels in question,owner,panels,sg,agr_0005,of_in_question
be_present,SS,The commissioner of the division in question,commissioner,division,sg,agr_0117,of_in_question
be_present,PP,The programmers of the platforms in question,programmers,platforms,pl,agr_0003,of_in_question
be_present,SP,The student of the departments in question,student,departments,sg,agr_0016,of_in_question
be_present,PS,The candidates of the organization in question,candidates,organization,pl,agr_0098,of_in_question
be_present,SP,The examiner of the corporations in question,examiner,corporations,sg,agr_0195,of_in_question
be_present,PP,The drivers of the hospitals in question,drivers,hospitals,pl,agr_0293,of_in_question
be_present,SP,The supervisor of the bureaus in question,supervisor,bureaus,sg,agr_0170,of_in_question
be_present,PP,The analysts of the corporations in question,analysts,corporations,pl,agr_0234,of_in_question
be_present,SS,The evaluator of the district in question,evaluator,district,sg,agr_0294,of_in_question
be_present,SS,The worker of the station in question,worker,station,sg,agr_0290,of_in_question
be_present,SS,The administrator of the office in question,administrator,office,sg,agr_0253,of_in_question
be_present,SP,The designer of the universities in question,designer,universities,sg,agr_0068,of_in_question
be_present,SS,The driver of the platform in question,driver,platform,sg,agr_0215,of_in_question
be_present,PP,The developers of the programs in question,developers,programs,pl,agr_0238,of_in_question
be_present,SP,The doctor of the facilities in question,doctor,facilities,sg,agr_0062,of_in_question
be_present,SP,The student of the institutions in question,student,institutions,sg,agr_0030,of_in_question
be_present,SS,The reporter of the school in question,reporter,school,sg,agr_0393,of_in_question
be_present,SS,The assistant of the board in question,assistant,board,sg,agr_0208,of_in_question
be_present,PP,The operators of the consortiums in question,operators,consortiums,pl,agr_0189,of_in_question
be_present,PS,The employees of the institution in question,employees,institution,pl,agr_0257,of_in_question
be_present,SS,The scientist of the division in question,scientist,division,sg,agr_0258,of_in_question
be_present,PS,The members of the organization in question,members,organization,pl,agr_0280,of_in_question
be_present,PP,The programmers of the ministries in question,programmers,ministries,pl,agr_0119,of_in_question
be_present,PS,The leaders of the company in question,leaders,company,pl,agr_0041,of_in_question
be_present,SP,The accountant of the boards in question,accountant,boards,sg,agr_0210,of_in_question
be_present,PS,The programmers of the project in question,programmers,project,pl,agr_0264,of_in_question
be_present,PP,The auditors of the consortiums in question,auditors,consortiums,pl,agr_0082,of_in_question
be_present,SS,The analyst of the bureau in question,analyst,bureau,sg,agr_0065,of_in_question
be_present,SP,The professor of the divisions in question,professor,divisions,sg,agr_0380,of_in_question
be_present,SS,The lawyer of the college in question,lawyer,college,sg,agr_0178,of_in_question
be_present,SP,The developer of the programs in question,developer,programs,sg,agr_0238,of_in_question
be_present,SS,The programmer of the club in question,programmer,club,sg,agr_0302,of_in_question
be_present,SS,The evaluator of the centre in question,evaluator,centre,sg,agr_0251,of_in_question
be_present,PP,The officers of the bureaus in question,officers,bureaus,pl,agr_0262,of_in_question
be_present,PP,The scientists of the programs in question,scientists,programs,pl,agr_0281,of_in_question
be_present,SP,The researcher of the groups in question,researcher,groups,sg,agr_0048,of_in_question
be_present,PP,The employees of the agencies in question,employees,agencies,pl,agr_0054,of_in_question
be_present,SS,The planner of the ministry in question,planner,ministry,sg,agr_0008,of_in_question
be_present,PP,The authors of the networks in question,authors,networks,pl,agr_0260,of_in_question
be_present,SP,The administrator of the organizations in question,administrator,organizations,sg,agr_0111,of_in_question
be_present,PP,The planners of the coalitions in question,planners,coalitions,pl,agr_0194,of_in_question
be_present,PS,The advisors of the network in question,advisors,network,pl,agr_0085,of_in_question
be_present,PP,The reporters of the corporations in question,reporters,corporations,pl,agr_0374,of_in_question
be_present,PS,The lecturers of the agency in question,lecturers,agency,pl,agr_0334,of_in_question
be_present,PP,The assistants of the universities in question,assistants,universities,pl,agr_0353,of_in_question
be_present,SS,The lecturer of the firm in question,lecturer,firm,sg,agr_0051,of_in_question
be_present,PP,The consultants of the regions in question,consultants,regions,pl,agr_0035,of_in_question
be_present,SS,The auditor of the program in question,auditor,program,sg,agr_0147,of_in_question
be_present,PS,The planners of the office in question,planners,office,pl,agr_0231,of_in_question
be_present,SP,The commissioner of the clubs in question,commissioner,clubs,sg,agr_0285,of_in_question
be_present,PP,The examiners of the corporations in question,examiners,corporations,pl,agr_0195,of_in_question
be_present,SS,The accountant of the network in question,accountant,network,sg,agr_0097,of_in_question
be_present,PS,The evaluators of the association in question,evaluators,association,pl,agr_0303,of_in_question
be_present,SS,The planner of the laboratory in question,planner,laboratory,sg,agr_0103,of_in_question
be_present,SS,The teacher of the unit in question,teacher,unit,sg,agr_0243,of_in_question
be_present,SP,The instructor of the platforms in question,instructor,platforms,sg,agr_0162,of_in_question
be_present,PP,The drivers of the platforms in question,drivers,platforms,pl,agr_0215,of_in_question
be_present,SP,The operator of the teams in question,operator,teams,sg,agr_0094,of_in_question
be_present,PS,The planners of the forum in question,planners,forum,pl,agr_0255,of_in_question
be_present,SS,The accountant of the alliance in question,accountant,alliance,sg,agr_0394,of_in_question
be_present,PS,The accountants of the program in question,accountants,program,pl,agr_0155,of_in_question
be_present,PP,The painters of the groups in question,painters,groups,pl,agr_0105,of_in_question
