item_id,base_item_index,template_id,verb_pair,subject_singular,subject_plural,distractor_singular,distractor_plural,condition,subject_number,distractor_number,prompt,singular_verb,plural_verb,correct_verb,wrong_verb,full_sentence_example,subject_token_start,subject_token_end,distractor_token_start,distractor_token_end,final_token_position,prompt_token_length
agr_0023,23,of_in_question,be_present,researcher,researchers,partnership,partnerships,SS,singular,singular,The researcher of the partnership in question,is,are,is,are,The researcher of the partnership in question is responsible for the decision.,1,1,4,4,6,7
agr_0023,23,of_in_question,be_present,researcher,researchers,partnership,partnerships,SP,singular,plural,The researcher of the partnerships in question,is,are,is,are,The researcher of the partnerships in question is responsible for the decision.,1,1,4,4,6,7
agr_0023,23,of_in_question,be_present,researcher,researchers,partnership,partnerships,PS,plural,singular,The researchers of the partnership in question,is,are,are,is,The researchers of the partnership in question are responsible for the decision.,1,1,4,4,6,7
agr_0023,23,of_in_question,be_present,researcher,researchers,partnership,partnerships,PP,plural,plural,The researchers of the partnerships in question,is,are,are,is,The researchers of the partnerships in question are responsible for the decision.,1,1,4,4,6,7
agr_0024,24,of_in_question,be_present,leader,leaders,coalition,coalitions,SS,singular,singular,The leader of the coalition in question,is,are,is,are,The leader of the coalition in question is responsible for the decision.,1,1,4,4,6,7
agr_0024,24,of_in_question,be_present,leader,leaders,coalition,coalitions,SP,singular,plural,The leader of the coalitions in question,is,are,is,are,The leader of the coalitions in question is responsible for the decision.,1,1,4,5,7,8
agr_0024,24,of_in_question,be_present,leader,leaders,coalition,coalitions,PS,plural,singular,The leaders of the coalition in question,is,are,are,is,The leaders of the coalition in question are responsible for the decision.,1,1,4,4,6,7
agr_0024,24,of_in_question,be_present,leader,leaders,coalition,coalitions,PP,plural,plural,The leaders of the coalitions in question,is,are,are,is,The leaders of the coalitions in question are responsible for the decision.,1,1,4,5,7,8
agr_0025,25,of_in_question,be_present,engineer,engineers,platform,platforms,SS,singular,singular,The engineer of the platform in question,is,are,is,are,The engineer of the platform in question is responsible for the decision.,1,1,4,4,6,7
agr_0025,25,of_in_question,be_present,engineer,engineers,platform,platforms,SP,singular,plural,The engineer of the platforms in question,is,are,is,are,The engineer of the platforms in question is responsible for the decision.,1,1,4,4,6,7
agr_0025,25,of_in_question,be_present,engineer,engineers,platform,platforms,PS,plural,singular,The engineers of the platform in question,is,are,are,is,The engineers of the platform in question are responsible for the decision.,1,1,4,4,6,7
agr_0025,25,of_in_question,be_present,engineer,engineers,platform,platforms,PP,plural,plural,The engineers of the platforms in question,is,are,are,is,The engineers of the platforms in question are responsible for the decision.,1,1,4,4,6,7
agr_0026,26,of_in_question,be_present,driver,drivers,forum,forums,SS,singular,singular,The driver of the forum in question,is,are,is,are,The driver of the forum in question is responsible for the decision.,1,1,4,4,6,7
agr_0026,26,of_in_question,be_present,driver,drivers,forum,forums,SP,singular,plural,The driver of the forums in question,is,are,is,are,The driver of the forums in question is responsible for the decision.,1,1,4,4,6,7
agr_0026,26,of_in_question,be_present,driver,drivers,forum,forums,PS,plural,singular,The drivers of the forum in question,is,are,are,is,The drivers of the forum in question are responsible for the decision.,1,1,4,4,6,7
agr_0026,26,of_in_question,be_present,driver,drivers,forum,forums,PP,plural,plural,The drivers of the forums in question,is,are,are,is,The drivers of the forums in question are responsible for the decision.,1,1,4,4,6,7
agr_0027,27,of_in_question,be_present,administrator,administrators,region,regions,SS,singular,singular,The administrator of the region in question,is,are,is,are,The administrator of the region in question is responsible for the decision.,1,1,4,4,6,7
agr_0027,27,of_in_question,be_present,administrator,administrators,region,regions,SP,singular,plural,The administrator of the regions in question,is,are,is,are,The administrator of the regions in question is responsible for the decision.,1,1,4,4,6,7
agr_0027,27,of_in_question,be_present,administrator,administrators,region,regions,PS,plural,singular,The administrators of the region in question,is,are,are,is,The administrators of the region in question are responsible for the decision.,1,1,4,4,6,7
agr_0027,27,of_in_question,be_present,administrator,administrators,region,regions,PP,plural,plural,The administrators of the regions in question,is,are,are,is,The administrators of the regions in question are responsible for the decision.,1,1,4,4,6,7
agr_0028,28,of_in_question,be_present,inspector,inspectors,project,projects,SS,singular,singular,The inspector of the project in question,is,are,is,are,The inspector of the project in question is responsible for the decision.,1,1,4,4,6,7
agr_0028,28,of_in_question,be_present,inspector,inspectors,project,projects,SP,singular,plural,The inspector of the projects in question,is,are,is,are,The inspector of the projects in question is responsible for the decision.,1,1,4,4,6,7
agr_0028,28,of_in_question,be_present,inspector,inspectors,project,projects,PS,plural,singular,The inspectors of the project in question,is,are,are,is,The inspectors of the project in question are responsible for the decision.,1,1,4,4,6,7
agr_0028,28,of_in_question,be_present,inspector,inspectors,project,projects,PP,plural,plural,The inspectors of the projects in question,is,are,are,is,The inspectors of the projects in question are responsible for the decision.,1,1,4,4,6,7
agr_0029,29,of_in_question,be_present,technician,technicians,project,projects,SS,singular,singular,The technician of the project in question,is,are,is,are,The technician of the project in question is responsible for the decision.,1,1,4,4,6,7
agr_0029,29,of_in_question,be_present,technician,technicians,project,projects,SP,singular,plural,The technician of the projects in question,is,are,is,are,The technician of the projects in question is responsible for the decision.,1,1,4,4,6,7
agr_0029,29,of_in_question,be_present,technician,technicians,project,projects,PS,plural,singular,The technicians of the project in question,is,are,are,is,The technicians of the project in question are responsible for the decision.,1,1,4,4,6,7
agr_0029,29,of_in_question,be_present,technician,technicians,project,projects,PP,plural,plural,The technicians of the projects in question,is,are,are,is,The technicians of the projects in question are responsible for the decision.,1,1,4,4,6,7
agr_0030,30,of_in_question,be_present,student,students,institution,institutions,SS,singular,singular,The student of the institution in question,is,are,is,are,The student of the institution in question is responsible for the decision.,1,1,4,4,6,7
agr_0030,30,of_in_question,be_present,student,students,institution,institutions,SP,singular,plural,The student of the institutions in question,is,are,is,are,The student of the institutions in question is responsible for the decision.,1,1,4,4,6,7
agr_0030,30,of_in_question,be_present,student,students,institution,institutions,PS,plural,singular,The students of the institution in question,is,are,are,is,The students of the institution in question are responsible for the decision.,1,1,4,4,6,7
agr_0030,30,of_in_question,be_present,student,students,institution,institutions,PP,plural,plural,The students of the institutions in question,is,are,are,is,The students of the institutions in question are responsible for the decision.,1,1,4,4,6,7
agr_0031,31,of_in_question,be_present,doctor,doctors,coalition,coalitions,SS,singular,singular,The doctor of the coalition in question,is,are,is,are,The doctor of the coalition in question is responsible for the decision.,1,1,4,4,6,7
agr_0031,31,of_in_question,be_present,doctor,doctors,coalition,coalitions,SP,singular,plural,The doctor of the coalitions in question,is,are,is,are,The doctor of the coalitions in question is responsible for the decision.,1,1,4,5,7,8
agr_0031,31,of_in_question,be_present,doctor,doctors,coalition,coalitions,PS,plural,singular,The doctors of the coalition in question,is,are,are,is,The doctors of the coalition in question are responsible for the decision.,1,1,4,4,6,7
agr_0031,31,of_in_question,be_present,doctor,doctors,coalition,coalitions,PP,plural,plural,The doctors of the coalitions in question,is,are,are,is,The doctors of the coalitions in question are responsible for the decision.,1,1,4,5,7,8
agr_0032,32,of_in_question,be_present,teacher,teachers,firm,firms,SS,singular,singular,The teacher of the firm in question,is,are,is,are,The teacher of the firm in question is responsible for the decision.,1,1,4,4,6,7
agr_0032,32,of_in_question,be_present,teacher,teachers,firm,firms,SP,singular,plural,The teacher of the firms in question,is,are,is,are,The teacher of the firms in question is responsible for the decision.,1,1,4,4,6,7
agr_0032,32,of_in_question,be_present,teacher,teachers,firm,firms,PS,plural,singular,The teachers of the firm in question,is,are,are,is,The teachers of the firm in question are responsible for the decision.,1,1,4,4,6,7
agr_0032,32,of_in_question,be_present,teacher,teachers,firm,firms,PP,plural,plural,The teachers of the firms in question,is,are,are,is,The teachers of the firms in question are responsible for the decision.,1,1,4,4,6,7
agr_0033,33,of_in_question,be_present,auditor,auditors,district,districts,SS,singular,singular,The auditor of the district in question,is,are,is,are,The auditor of the district in question is responsible for the decision.,1,1,4,4,6,7
agr_0033,33,of_in_question,be_present,auditor,auditors,district,districts,SP,singular,plural,The auditor of the districts in question,is,are,is,are,The auditor of the districts in question is responsible for the decision.,1,1,4,4,6,7
agr_0033,33,of_in_question,be_present,auditor,auditors,district,districts,PS,plural,singular,The auditors of the district in question,is,are,are,is,The auditors of the district in question are responsible for the decision.,1,2,5,5,7,8
agr_0033,33,of_in_question,be_present,auditor,auditors,district,districts,PP,plural,plural,The auditors of the districts in question,is,are,are,is,The auditors of the districts in question are responsible for the decision.,1,2,5,5,7,8
agr_0034,34,of_in_question,be_present,designer,designers,coalition,coalitions,SS,singular,singular,The designer of the coalition in question,is,are,is,are,The designer of the coalition in question is responsible for the decision.,1,1,4,4,6,7
agr_0034,34,of_in_question,be_present,designer,designers,coalition,coalitions,SP,singular,plural,The designer of the coalitions in question,is,are,is,are,The designer of the coalitions in question is responsible for the decision.,1,1,4,5,7,8
agr_0034,34,of_in_question,be_present,designer,designers,coalition,coalitions,PS,plural,singular,The designers of the coalition in question,is,are,are,is,The designers of the coalition in question are responsible for the decision.,1,1,4,4,6,7
agr_0034,34,of_in_question,be_present,designer,designers,coalition,coalitions,PP,plural,plural,The designers of the coalitions in question,is,are,are,is,The designers of the coalitions in question are responsible for the decision.,1,1,4,5,7,8
agr_0035,35,of_in_question,be_present,consultant,consultants,region,regions,SS,singular,singular,The consultant of the region in question,is,are,is,are,The consultant of the region in question is responsible for the decision.,1,1,4,4,6,7
agr_0035,35,of_in_question,be_present,consultant,consultants,region,regions,SP,singular,plural,The consultant of the regions in question,is,are,is,are,The consultant of the regions in question is responsible for the decision.,1,1,4,4,6,7
agr_0035,35,of_in_question,be_present,consultant,consultants,region,regions,PS,plural,singular,The consultants of the region in question,is,are,are,is,The consultants of the region in question are responsible for the decision.,1,1,4,4,6,7
agr_0035,35,of_in_question,be_present,consultant,consultants,region,regions,PP,plural,plural,The consultants of the regions in question,is,are,are,is,The consultants of the regions in question are responsible for the decision.,1,1,4,4,6,7
agr_0036,36,of_in_question,be_present,auditor,auditors,division,divisions,SS,singular,singular,The auditor of the division in question,is,are,is,are,The auditor of the division in question is responsible for the decision.,1,1,4,4,6,7
agr_0036,36,of_in_question,be_present,auditor,auditors,division,divisions,SP,singular,plural,The auditor of the divisions in question,is,are,is,are,The auditor of the divisions in question is responsible for the decision.,1,1,4,4,6,7
agr_0036,36,of_in_question,be_present,auditor,auditors,division,divisions,PS,plural,singular,The auditors of the division in question,is,are,are,is,The auditors of the division in question are responsible for the decision.,1,2,5,5,7,8
agr_0036,36,of_in_question,be_present,auditor,auditors,division,divisions,PP,plural,plural,The auditors of the divisions in question,is,are,are,is,The auditors of the divisions in question are responsible for the decision.,1,2,5,5,7,8
agr_0037,37,of_in_question,be_present,engineer,engineers,institute,institutes,SS,singular,singular,The engineer of the institute in question,is,are,is,are,The engineer of the institute in question is responsible for the decision.,1,1,4,4,6,7
agr_0037,37,of_in_question,be_present,engineer,engineers,institute,institutes,SP,singular,plural,The engineer of the institutes in question,is,are,is,are,The engineer of the institutes in question is responsible for the decision.,1,1,4,5,7,8
agr_0037,37,of_in_question,be_present,engineer,engineers,institute,institutes,PS,plural,singular,The engineers of the institute in question,is,are,are,is,The engineers of the institute in question are responsible for the decision.,1,1,4,4,6,7
agr_0037,37,of_in_question,be_present,engineer,engineers,institute,institutes,PP,plural,plural,The engineers of the institutes in question,is,are,are,is,The engineers of the institutes in question are responsible for the decision.,1,1,4,5,7,8
agr_0038,38,of_in_question,be_present,examiner,examiners,division,divisions,SS,singular,singular,The examiner of the division in question,is,are,is,are,The examiner of the division in question is responsible for the decision.,1,1,4,4,6,7
agr_0038,38,of_in_question,be_present,examiner,examiners,division,divisions,SP,singular,plural,The examiner of the divisions in question,is,are,is,are,The examiner of the divisions in question is responsible for the decision.,1,1,4,4,6,7
agr_0038,38,of_in_question,be_present,examiner,examiners,division,divisions,PS,plural,singular,The examiners of the division in question,is,are,are,is,The examiners of the division in question are responsible for the decision.,1,2,5,5,7,8
